slug,provider,offer,actionButtons,toolType,programmingLanguage,tag,description,planType,planName,price,trial,starred,dependencies,latestKnownVersion,latestKnownReleaseDate,maintainer,license
eth-account,ApeWorx,,"[""[Docs](https://eth-account.readthedocs.io/)"",""[GitHub](https://github.com/ApeWorX/eth-account)""]",Library,Python,"[""Ethereum"",""Python"",""Accounts"",""Transaction signing"",""Messages""]","Python library for managing Ethereum accounts and signing transactions, messages, and typed data with local private keys.",Public,,$0,FALSE,FALSE,"[""bitarray@>=2.4"",""eth-abi@>=4"",""eth-keyfile@>=0.10"",""eth-keys@>=0.5"",""eth-rlp@>=3"",""eth-utils@>=6"",""hexbytes@>=2"",""rlp@>=2"",""ckzg@>=2"",""pydantic@>=2""]",,,,
eth-tx,EthTx,,"[""[Website](https://github.com/EthTx/ethtx)""]",Library,Python,"[""Ethereum transaction decoder"",""Blockchain transaction analysis""]","It is a developer and analyst tool that decodes Ethereum transactions into a human-readable format, providing valuable insights into the underlying smart contract logic and token flows",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
ethereum-eth-hash,Ethereum Foundation,eth-hash,"[""[GitHub](https://github.com/ethereum/eth-hash)""]",Hashing Library,Python,"[""Ethereum"",""Keccak-256"",""hashing"",""Python""]",Python implementation and backend interface for Ethereum Keccak-256 hashing.,Public,,$0,FALSE,FALSE,,,,,
ethereum-eth-typing,Ethereum Foundation,eth-typing,"[""[GitHub](https://github.com/ethereum/eth-typing)""]",Type Library,Python,"[""Ethereum"",""Python"",""type hints"",""library""]",Python type definitions commonly used by Ethereum libraries and applications.,Public,,$0,FALSE,FALSE,,,,,
ethereum-eth-utils,Ethereum Foundation,eth-utils,"[""[GitHub](https://github.com/ethereum/eth-utils)""]",Utility Library,Python,"[""Ethereum"",""Python"",""utilities"",""library""]",Python utility functions shared by Ethereum codebases.,Public,,$0,FALSE,FALSE,,,,,
ethereum-kohaku,Ethereum Foundation,Kohaku,"[""[GitHub](https://github.com/ethereum/kohaku)""]",Privacy Toolkit,TypeScript,"[""Ethereum"",""privacy"",""wallets"",""TypeScript""]",Privacy-first tooling and libraries for the Ethereum ecosystem.,Public,,$0,FALSE,FALSE,,,,,
ethereum-py-ecc,Ethereum Foundation,py-ecc,"[""[GitHub](https://github.com/ethereum/py_ecc)""]",Cryptography Library,Python,"[""Ethereum"",""ECC"",""BLS12-381"",""bn128"",""Python""]",Python library implementing Ethereum elliptic-curve pairing operations for bn128 and BLS12-381.,Public,,$0,FALSE,FALSE,,,,,
ethereum-types,Ethereum Foundation,Ethereum Types,"[""[GitHub](https://github.com/ethereum/ethereum-types)""]",Specification Types Library,Python,"[""Ethereum"",""EELS"",""types"",""Python""]","Types and utilities used by the Ethereum Execution Layer Specification, including fixed-size integers and byte sequences.",Public,,$0,FALSE,FALSE,,,,,
ethereumjs,EthereumJS,,"[""[Website](https://ethereumjs.github.io/)"",""[GitHub](https://github.com/ethereumjs/ethereumjs-monorepo)""]",SDK,TypeScript,"[""Ethereum"",""TypeScript"",""EVM"",""Transactions"",""Protocol libraries""]","Modular TypeScript protocol libraries for Ethereum execution, including EVM, VM, transaction, block, chain configuration, state, and utility packages.",Public,,$0,FALSE,FALSE,,,,,
ethers-js,Ethers.js,,"[""[Website](https://docs.ethers.org/v6/)""]",Library,JavaScript,"[""Library"",""dApp development""]",It is a comprehensive JavaScript and TypeScript toolkit that provides developers with a robust and simple way to interact with the Ethereum blockchain and its broader ecosystem,Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
etherspot,Etherspot Prime,SDK,"[""[Website](https://etherspot.io)"", ""[Docs](https://etherspot.fyi/prime-sdk/intro)""]",SDK,TBD,"[""Account Abstraction"",""Wallet SDK""]",Account Abstraction SDK providing Web2-like smart wallet experiences i.e social logins batched transactions to Ethereum dApps,Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
evmole,Evmole,,"[""[Website](https://github.com/cdump/evmole)""]",Library,TBD,"[""EVM Bytecode Analysis"",""Smart Contract Analysis"",""ABI Extraction"",""Function Selector Decoding""]","It provides a library for extracting function selectors, arguments, and other key information from Ethereum Virtual Machine (EVM) bytecode, even for unverified smart contracts",Enterprise,,Custom,FALSE,FALSE,,TBD,TBD,TBD,TBD
fift-lang,Fift,,"[""[Docs](https://blog.ton.org/introduction-to-fift)""]",Programming language,Fift,"[""Smart Contracts"",""Language"",""Low-Level"",""TVM""]","A low-level stack-based programming language for the TON Virtual Machine (TVM), primarily used for tooling, scripts, and advanced contract development",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
filecoin-blstrs,Filecoin,blstrs,"[""[GitHub](https://github.com/filecoin-project/blstrs)""]",Library,Rust,"[""BLS12-381"",""Cryptography"",""Pairings""]",Rust implementation of the BLS12-381 pairing-friendly curve using blst as its backend.,Public,,$0,FALSE,FALSE,"[""blst@^0.3.10"",""byte-slice-cast@^1.0.0"",""ff@^0.13"",""group@^0.13"",""pairing@^0.23"",""rand_core@^0.6"",""serde@^1.0"",""subtle@^2.2.1"",""zeroize@^1.8.2""]",,,,
filecoin-ffi,Filecoin,Filecoin FFI,"[""[GitHub](https://github.com/filecoin-project/filecoin-ffi)""]",Library,"C, Go","[""FFI"",""Proofs"",""FVM""]","C and CGO bindings that let Filecoin clients consume the Rust proofs and reference FVM libraries.",Public,,$0,FALSE,FALSE,,,,,
filecoin-go-commp-utils,Filecoin,go-commp-utils,"[""[GitHub](https://github.com/filecoin-project/go-commp-utils)""]",Library,Go,"[""CommP"",""Pieces"",""Utilities""]",Go utilities for generating and working with Filecoin piece commitments.,Public,,$0,FALSE,FALSE,"[""github.com/filecoin-project/go-fil-commcid@v0.3.1"",""github.com/filecoin-project/go-fil-commp-hashhash@v0.4.0"",""github.com/filecoin-project/go-padreader@v0.0.1"",""github.com/filecoin-project/go-state-types@v0.18.0"",""github.com/ipfs/go-cid@v0.6.2"",""github.com/minio/sha256-simd@v1.0.1"",""github.com/multiformats/go-multihash@v0.2.3"",""github.com/stretchr/testify@v1.12.1"",""golang.org/x/xerrors@v0.0.0-20240903120638-7835f813f4da""]",,,,
filecoin-go-fil-commp-hashhash,Filecoin,go-fil-commp-hashhash,"[""[GitHub](https://github.com/filecoin-project/go-fil-commp-hashhash)""]",Library,Go,"[""CommP"",""Commitments"",""Hashing""]",Go hash.Hash implementation for streaming calculation of Filecoin unsealed commitments (CommP/CommD).,Public,,$0,FALSE,FALSE,"[""github.com/minio/sha256-simd@v1.0.1"",""golang.org/x/xerrors@v0.0.0-20240903120638-7835f813f4da""]",,,,
filecoin-go-paramfetch,Filecoin,go-paramfetch,"[""[GitHub](https://github.com/filecoin-project/go-paramfetch)""]",Library,Go,"[""Proofs"",""Parameters"",""Parameter fetching""]",Go library for downloading and verifying Groth proving parameters and verifying keys used by Filecoin clients.,Public,,$0,FALSE,FALSE,"[""github.com/cheggaaa/pb/v3@v3.1.5"",""github.com/ipfs/go-fs-lock@v0.0.7"",""github.com/ipfs/go-log/v2@v2.5.1"",""github.com/stretchr/testify@v1.9.0"",""go.uber.org/multierr@v1.11.0"",""golang.org/x/crypto@v0.52.0"",""golang.org/x/sync@v0.8.0"",""golang.org/x/xerrors@v0.0.0-20240903120638-7835f813f4da""]",,,,
filecoin-proofs-api,Filecoin,Filecoin Proofs API,"[""[GitHub](https://github.com/filecoin-project/rust-filecoin-proofs-api)"",""[Docs](https://github.com/filecoin-project/rust-filecoin-proofs-api#readme)""]",Library,Rust,"[""Filecoin"",""proofs"",""PoRep"",""PoSt"",""GPU""]","Official public Rust API for interacting with the Filecoin proving system, including CUDA and OpenCL build support.",Public,,$0,FALSE,FALSE,,,,,
filsnap-adapter,Filecoin,Filsnap Adapter,"[""[GitHub](https://github.com/filecoin-project/filsnap)"",""[Docs](https://filecoin-project.github.io/filsnap/)""]",SDK,TypeScript,"[""Filecoin"",""MetaMask Snaps"",""wallet adapter"",""signing""]","TypeScript adapter for connecting decentralized applications to Filsnap for Filecoin accounts, signing, balances, gas estimation, and message submission.",Public,,$0,FALSE,FALSE,,,,,
filsnap-react-adapter,Filecoin,Filsnap React Adapter,"[""[GitHub](https://github.com/filecoin-project/filsnap)"",""[Docs](https://filecoin-project.github.io/filsnap/)""]",React SDK,TypeScript,"[""Filecoin"",""MetaMask Snaps"",""React"",""wallet adapter""]",React hooks and components for integrating Filsnap-powered Filecoin accounts and signing workflows into browser applications.,Public,,$0,FALSE,FALSE,,,,,
folks-algorand-sdk,Folks Finance,Algorand SDK,"[""[GitHub](https://github.com/Folks-Finance/algorand-js-sdk)""]",SDK,JavaScript,"[""Algorand"", ""Transactions"", ""DeFi""]",JavaScript SDK for interacting with the Folks Finance lending and liquid staking protocol on Algorand.,Public,,$0,FALSE,FALSE,"[""@algorandfoundation/algokit-utils@^9.0.0"",""algosdk@^3.0.0""]",,,,
folks-router-sdk,Folks Finance,Folks Router SDK,"[""[GitHub](https://github.com/Folks-Finance/folks-router/tree/main/packages/folks-router-js-sdk)""]",SDK,"JavaScript, TypeScript","[""Algorand"",""DEX Aggregation"",""Transactions""]",JavaScript and TypeScript SDK for fetching swap quotes and preparing Algorand transactions through Folks Router.,Public,,$0,FALSE,FALSE,"[""algosdk@^3.5.2"",""axios@^1.13.2""]",,,,
folks-smart-contract-library,Folks Finance,Folks Smart Contract Library,"[""[GitHub](https://github.com/Folks-Finance/algorand-smart-contract-library)""]",Library,Python,"[""Algorand"",""Smart Contracts"",""Access Control""]","Reusable Algorand Python smart contract modules for implementing access control and other common contract patterns.",Public,,$0,FALSE,FALSE,,,,,
folks-wormhole-ntt-sdk,Folks Finance,Wormhole NTT SDK,"[""[GitHub](https://github.com/Folks-Finance/wormhole-ntt-sdk)""]",SDK,JavaScript,"[""Algorand"", ""Cross-chain messaging"", ""Token Transfers""]",JavaScript SDK for quoting and preparing Wormhole Native Token Transfers with support for Algorand.,Public,,$0,FALSE,FALSE,"[""@algorandfoundation/algokit-utils@^9.2.0"",""@txnlab/use-wallet@4.3.1"",""@wormhole-foundation/sdk@^4.15.0"",""algosdk@^3.5.2"",""viem@^2.47.12"",""zod@^4.3.6""]",,,,
foundry,Foundry,,"[""[Docs](https://www.getfoundry.sh/)""]",Framework,Rust,"[""Framework""]",Solidity-native smart contract development toolkit written in Rust offering blazing-fast compilation and testing,Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
foundry-zksync,Zksync,Foundry-ZKsync,"[""[Docs](https://foundry-book.zksync.io/)"",""[GitHub](https://github.com/matter-labs/foundry-zksync)""]",Framework,Rust,"[""Foundry"",""ZKsync"",""Smart contract development""]","Foundry-based smart contract development toolkit for compiling testing and deploying contracts on ZKsync Era and EraVM-powered chains",Free,,$0,FALSE,FALSE,,v0.1.9,2026-02-24,Matter Labs,MIT / Apache-2.0
func-lang,FunC,,"[""[Docs](https://docs.ton.org/develop/func/overview)""]",SDK,FunC,"[""Smart Contracts"",""Language"",""Low-Level""]","The lower-level, C-like programming language used to write raw smart contracts for the TON Virtual Machine (TVM)",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
fuzzlib,Fuzzlib,,"[""[Website](https://github.com/perimetersec/fuzzlib)""]",Library,Solidity,"[""Fuzz Testing"",""Software Testing"",""Security Testing"",""Vulnerability Research""]",It helps Web3 developers enhance the security and stability of their smart contracts by streamlining the fuzzing process,Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
fvm-assemblyscript-sdk,Zondax,FVM AssemblyScript SDK,"[""[GitHub](https://github.com/Zondax/fvm-as-sdk)""]",SDK,TBD,"[""SDK""]",AssemblyScript SDK for Filecoin Virtual Machine smart contract development,Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
fvm-powergate-textile,Powergate,FVM Powergate Textile,"[""[Docs](https://docs.textile.io/powergate/)"",""[GitHub](https://github.com/textileio/powergate)""]",SDK,TBD,"[""SDK""]",Textile Powergate SDK for building on Filecoin,Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
ginco-sdk-enterprise,Ginco,SDK,"[""[Website](https://www.ginco.com/wallet-builder)""]",SDK,TBD,"[""Web3 SDK"",""Blockchain Development Kit"",""Crypto Wallet SDK"",""Non-Custodial Wallet SDK""]","It is specifically designed to help businesses integrate blockchain functionalities, such as digital asset wallets and transaction monitoring, into their own services",Enterprise,,Custom,FALSE,FALSE,,TBD,TBD,TBD,TBD
go-ethereum,Go Ethereum,,"[""[Docs](https://geth.ethereum.org/docs/developers/dapp-developer/native-bindings-v2)"",""[GitHub](https://github.com/ethereum/go-ethereum)""]",SDK,Go,"[""Ethereum"",""Go"",""JSON-RPC"",""Smart contracts"",""Transaction signing""]","Go packages for interacting with Ethereum-compatible nodes, accounts, transactions, smart contracts, and JSON-RPC services.",Public,,$0,FALSE,FALSE,,,,,
halliday-sdk,Halliday,,"[""[Docs](https://docs.halliday.xyz/pages/payments-sdk-docs)""]",Onramp,JavaScript,"[""Payments SDK Widget""]","It enables developers to integrate a widget for seamless cryptocurrency payments, including fiat onramps, cross-chain swaps, and exchange withdrawals to any token or chain",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
hardhat,Hardhat,,"[""[Docs](https://hardhat.org/docs)""]",Framework,JavaScript,"[""Framework""]",Versatile Ethereum development framework simplifying smart contract building testing and deployment,Free,,$0,FALSE,FALSE,"[""@nomicfoundation/edr@0.19.0"",""@nomicfoundation/hardhat-errors@^3.0.17"",""@nomicfoundation/hardhat-utils@^4.1.6"",""@nomicfoundation/hardhat-vendored@^3.0.4"",""@nomicfoundation/hardhat-zod-utils@^3.0.5"",""@nomicfoundation/solidity-analyzer@^0.1.1"",""@sentry/core@^9.4.0"",""adm-zip@^0.6.0"",""chokidar@^5.0.0"",""enquirer@^2.3.0"",""ethereum-cryptography@^2.2.1"",""micro-eth-signer@^0.14.0"",""p-map@^7.0.6"",""resolve.exports@^2.0.3"",""semver@^7.8.5"",""tsx@^4.23.1"",""ws@^8.21.1"",""zod@^3.23.8""]",TBD,TBD,TBD,TBD
hardhat-zksync,Zksync,Hardhat-ZKsync,"[""[Docs](https://docs.zksync.io/zksync-network/zksync-era/custom-tooling#hardhat-zksync)"",""[GitHub](https://github.com/matter-labs/hardhat-zksync)""]",Framework,TypeScript,"[""Hardhat"",""ZKsync"",""Smart contract development""]","Official Hardhat plugin suite for compiling deploying testing verifying and upgrading contracts targeting ZKsync Era and EraVM-powered chains",Free,,$0,FALSE,FALSE,,TBD,TBD,Matter Labs,MIT / Apache-2.0
haystack-router-sdk,TxnLab,Haystack Router SDK,"[""[GitHub](https://github.com/TxnLab/haystack-js)"",""[Docs](https://github.com/TxnLab/haystack-js/tree/main/packages/haystack)""]",SDK,"TypeScript, JavaScript","[""Algorand"",""DEX Aggregation"",""Transactions""]","TypeScript and JavaScript SDK for Algorand swap quotes, smart order routing, and transaction preparation through Haystack Router; the software is free, while network and service fees are separate.",Public,,$0,FALSE,FALSE,"[""algosdk@^3.0.0""]",,,,
huff,Huff,,"[""[Website](https://huff.sh/)""]",Programming Language,Huff,"[""EVM programming language"",""Ethereum smart contracts"",""Low-level smart contract language""]",It is a low-level programming language and associated ecosystem of developer tools used for writing extremely optimized smart contracts on the Ethereum Virtual Machine,Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
huffmate,Huffmate,,"[""[Website](https://github.com/huff-language/huffmate)""]",Library,Huff,"[""Huff-language"",""Smart-contracts"",""Solidity-tools""]","It provides a library of hyper-optimized Huff smart contracts intended as resources for learning and implementation, rather than a compiler or debugger",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
hyperlane-sdk,Hyperlane,SDK,"[""[Docs](https://docs.hyperlane.xyz/docs/reference/developer-tools/typescript-sdk/overview)""]",SDK,TypeScript,"[""Cross-chain messaging"",""Interoperability"",""Multi-chain apps""]",SDK for building applications that send messages and assets across different blockchain networks using Hyperlanes interoperability protocol,Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,Apache-2.0
ipfs-boxo,IPFS,Boxo,"[""[GitHub](https://github.com/ipfs/boxo)""]",SDK,Go,"[""IPFS"",""Content Addressing"",""Go"",""Data Exchange""]","Go SDK and reference libraries for building IPFS applications and implementations, including reusable content-addressing and data-exchange components.",Public,,$0,FALSE,FALSE,,,,,
ipfs-go-cid,IPFS,Go CID,"[""[GitHub](https://github.com/ipfs/go-cid)""]",Library,Go,"[""IPFS"",""CID"",""Content Addressing"",""Go""]",Go implementation of Content Identifiers for addressing immutable content-addressed data.,Public,,$0,FALSE,FALSE,,,,,
ipfs-go-graphsync,IPFS,Go GraphSync,"[""[GitHub](https://github.com/ipfs/go-graphsync)""]",Library,Go,"[""IPFS"",""GraphSync"",""IPLD"",""Data Exchange""]",Go implementation of the GraphSync wire protocol for IPLD data exchange.,Public,,$0,FALSE,FALSE,,,,,
iso-filecoin,iso-filecoin,,"[""[Website](https://filecoin.hugomrdias.dev/)"",""[Docs](https://filecoin.hugomrdias.dev/intro/getting-started/)""]",Library,JavaScript,"[""Filecoin"",""RPC"",""Addresses"",""Signatures"",""Tokens"",""Chain""]","Type-safe JavaScript standard library providing RPC, address, signature, token, and chain utilities for building applications on Filecoin.",Public,,$0,FALSE,FALSE,,,,,
iso-filecoin-react,iso-filecoin,React,"[""[Docs](https://filecoin.hugomrdias.dev/guides/react/)"",""[GitHub](https://github.com/hugomrdias/filecoin/tree/main/packages/iso-filecoin-react)""]",Library,JavaScript,"[""Filecoin"",""React"",""Wallets"",""Hooks"",""Context""]",React context and hooks for connecting Filecoin wallets in browser applications.,Public,,$0,FALSE,FALSE,"[""@tanstack/react-query"",""iso-filecoin"",""iso-filecoin-wallets"",""react""]",,,,
iso-filecoin-wallets,iso-filecoin,Wallet Adapters,"[""[Docs](https://filecoin.hugomrdias.dev/guides/adapters/)"",""[GitHub](https://github.com/hugomrdias/filecoin/tree/main/packages/iso-filecoin-wallets)""]",Library,JavaScript,"[""Filecoin"",""Wallet Adapters"",""Ledger"",""Filsnap"",""Reown AppKit""]","Unified Filecoin wallet adapters for Filsnap, Ledger, hierarchical deterministic, local wallets, and Reown AppKit integration via FilecoinAppKitAdapter.",Public,,$0,FALSE,FALSE,"[""@reown/appkit-controllers"",""filsnap-adapter"",""iso-base"",""iso-filecoin"",""iso-web"",""nanoid""]",,,,
layerzero-sdk,LayerZero Labs,SDK,"[""[Docs](https://docs.layerzero.network/v2/tools/sdks/options)""]",SDK,Solidity,"[""Message Execution Options"",""LayerZero Solana SDK"",""LayerZero Endpoint Metadata""]",SDK enabling developers to build and debug omnichain applications that communicate across multiple blockchains through LayerZeros messaging protocol,Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,MIT
lens-sdk,Lens,,"[""[Website](https://github.com/lens-protocol/lens-sdk)""]",SDK,TBD,"[""Decentralized Social Graph"",""Social Network"",""dApp Development"",""Developer Tools"",""Social Features""]","It offers developers the infrastructure and tools required to build decentralized social media applications on the Lens Protocol, a decentralized social graph on the Polygon blockchain",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
lifi-sdk,LI.FI,SDK,"[""[Docs](https://docs.li.fi/sdk/overview)""]",SDK,TypeScript,"[""DEX aggregation"",""Cross-chain bridging"",""Multi-chain DeFi""]",It provides a powerful toolkit for developers to enable seamless cross-chain and on-chain swaps and bridging within their applications,Free,,$0,FALSE,FALSE,"[""@lifi/types@^18.5.0""]",TBD,TBD,TBD,MIT
loop-decoder,Loop Decoder,,"[""[Docs](https://loop-decoder.3loop.io/)"",""[GitHub](https://github.com/3loop/loop-decoder)""]",Library,"TypeScript","[""Code Debugger"",""Developer Tool"",""Code Analysis Tool""]",It offers an all-in-one toolkit designed to simplify Ethereum Virtual Machine (EVM) transaction decoding for web3 developers,Enterprise,,Custom,FALSE,FALSE,"[""@shazow/whatsabi@^0.23.0"",""effect@>=3.15.1"",""viem@>=2.23.0""]",TBD,TBD,TBD,TBD
magic,Magic,,"[""[Website](https://magic.link/)""]",SDK,TBD,"[""Email login"",""Social logins"",""Wallet SDK""]",Web3 onboarding SDK for creating non-custodial wallets using familiar Web2 logins eliminating seed phrases,Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
matic-js,Matic.js,,"[""[Website](https://github.com/0xPolygon/matic.js)""]",SDK,JavaScript,"[""SDK""]",Official JavaScript SDK for cross-chain bridging and asset management on Polygon,Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
moralis-sdk-javascript,Moralis,SDK,"[""[Docs](https://docs.moralis.com/get-started/tutorials/streams/wallet-monitoring/monitor-wallet-activity-in-real-time#step-1-install-the-moralis-sdk)""]",SDK,JavaScript,"[""Web3 APIs"",""Multi-chain data"",""Blockchain infrastructure""]",It enables developers to integrate Web3 features into dApps efficiently by simplifying blockchain interactions across chains like EVM and Solana,Free,,$0,TRUE,FALSE,,TBD,TBD,TBD,MIT
moralis-sdk-python,Moralis,SDK,"[""[Docs](https://docs.moralis.com/get-started/tutorials/streams/wallet-monitoring/monitor-wallet-activity-in-real-time#step-1-install-the-moralis-sdk)""]",SDK,Python,"[""Web3 APIs"",""Multi-chain data"",""Blockchain infrastructure""]",It enables developers to integrate Web3 features into dApps efficiently by simplifying blockchain interactions across chains like EVM and Solana,Free,,$0,TRUE,FALSE,,TBD,TBD,TBD,MIT
nethereum,Nethereum,,"[""[Website](https://nethereum.com/)"",""[Docs](https://docs.nethereum.com/)""]",Library,C#,"[""Ethereum"","".NET"",""C#"",""Smart contracts"",""Wallets""]",".NET library suite for interacting with Ethereum and EVM-compatible chains, including smart contracts, signing, wallets, RPC, indexing, and developer tooling.",Free,,$0,FALSE,FALSE,,,,,
nfd-sdk,TxnLab,NFD SDK,"[""[GitHub](https://github.com/TxnLab/nfd-sdk)"",""[Docs](https://docs.nf.domains/)""]",SDK,TypeScript,"[""Algorand"",""NFD"",""Name Service""]",JavaScript SDK for interacting with NFDomains directly on-chain and via API.,Public,,$0,FALSE,FALSE,"[""algosdk"",""@algorandfoundation/algokit-utils""]",,,,
ocean-protocol-sdk,Ocean Protocol,,"[""[Docs](https://docs.oceanprotocol.com/developers)""]",SDK,TBD,"[""Decentralized Data"",""Data Monetization"",""Data Exchange"",""Data Sharing"",""Blockchain Protocol"",""Data Marketplace""]","It provides developers with a decentralized platform and a comprehensive toolkit for building data-driven applications and marketplaces, focusing on secure, privacy-preserving data sharing and monetization",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
one-key-sdk,OneKey,SDK,"[""[Website](https://developer.onekey.so/)""]",dApp integration tools for developers,TBD,"[""Hardware Wallet Integration"",""Multi-Chain dApp Connectivity""]",It provides a platform for developers to integrate secure blockchain wallet functionalities into both web and native applications,Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
open-zeppelin-test-helpers,OpenZeppelin,,"[""[Docs](https://docs.openzeppelin.com/)""]",Library,Solidity,"[""Solidity Test"",""Smart Contract Testing"",""Assertion library""]","It integrates with development environments like Hardhat and Web3.js to offer powerful, configurable checks for secure contract launches, acting as a key part of OpenZeppelin's broader mission to enhance blockchain security",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
openfort-sdk-enterprise,Openfort,SDK,"[""[Contact](https://cal.com/joalavedra)"",""[Docs](https://www.openfort.io/docs)""]",SDK,TypeScript,"[""Embedded Wallets"",""Account Abstraction"",""Wallet Infrastructure"",""AI Agents""]","Open-source wallet infrastructure for rapid integration of wallet functions, intuitive onboarding, and flexible user journeys for any application or ecosystem",Enterprise,,Custom,FALSE,FALSE,,2.1.0,2026-07-31,Openfort,Apache-2.0
openfort-sdk-growth,Openfort,SDK,"[""[Buy](https://www.openfort.io/pricing)"",""[Docs](https://www.openfort.io/docs)""]",SDK,TypeScript,"[""Embedded Wallets"",""Account Abstraction"",""Wallet Infrastructure"",""AI Agents""]","Open-source wallet infrastructure for rapid integration of wallet functions, intuitive onboarding, and flexible user journeys for any application or ecosystem",Tiered,Growth,$99/mo,FALSE,FALSE,,2.1.0,2026-07-31,Openfort,Apache-2.0
openfort-sdk-pro,Openfort,SDK,"[""[Buy](https://www.openfort.io/pricing)"",""[Docs](https://www.openfort.io/docs)""]",SDK,TypeScript,"[""Embedded Wallets"",""Account Abstraction"",""Wallet Infrastructure"",""AI Agents""]","Open-source wallet infrastructure for rapid integration of wallet functions, intuitive onboarding, and flexible user journeys for any application or ecosystem",Tiered,Pro,$249/mo,FALSE,FALSE,,2.1.0,2026-07-31,Openfort,Apache-2.0
openfort-sdk-scale,Openfort,SDK,"[""[Buy](https://www.openfort.io/pricing)"",""[Docs](https://www.openfort.io/docs)""]",SDK,TypeScript,"[""Embedded Wallets"",""Account Abstraction"",""Wallet Infrastructure"",""AI Agents""]","Open-source wallet infrastructure for rapid integration of wallet functions, intuitive onboarding, and flexible user journeys for any application or ecosystem",Tiered,Scale,$599/mo,FALSE,FALSE,,2.1.0,2026-07-31,Openfort,Apache-2.0
openfort-sdk-starter,Openfort,SDK,"[""[Website](https://www.openfort.io/)"",""[Docs](https://www.openfort.io/docs)""]",SDK,TypeScript,"[""Embedded Wallets"",""Account Abstraction"",""Wallet Infrastructure"",""AI Agents""]","Open-source wallet infrastructure for rapid integration of wallet functions, intuitive onboarding, and flexible user journeys for any application or ecosystem",Free,Starter,$0,FALSE,FALSE,,2.1.0,2026-07-31,Openfort,Apache-2.0
openzeppelin,OpenZeppelin,,"[""[Docs](https://docs.openzeppelin.com/contracts)""]",Library,Solidity,"[""Security"",""Contracts Library""]","Library of secure community-vetted smart contracts i.e ERC20, ERC721 etc. for Ethereum development",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
ox,wevm,,"[""[Docs](https://oxlib.sh/)"",""[GitHub](https://github.com/wevm/ox)""]",Library,TypeScript,"[""Ethereum"",""TypeScript"",""EVM"",""Transactions"",""Cryptography""]","TypeScript standard library for EVM data types, transactions, signatures, cryptography, RPC schemas, and contract utilities.",Public,,$0,FALSE,FALSE,,,,,
phantom-sdk,Phantom,SDK,"[""[Docs](https://docs.phantom.com/introduction)""]",Software Development Kit,TBD,"[""Web3 Development"",""Multichain Wallet Integration""]",It provides developers with tools to integrate the Phantom cryptocurrency wallet into their web and mobile applications,Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
pinata-sdk-enterprise,Pinata,SDK,"[""[Contact](https://pinata.cloud/pricing)"",""[Docs](https://docs.pinata.cloud/sdk/getting-started)""]",SDK,TypeScript,"[""IPFS"",""Decentralized Storage"",""Web3 infrastructure""]","Provides a comprehensive SDK suite for developers to seamlessly upload, manage, and retrieve files on the IPFS decentralized storage network with enterprise-grade gateways.",Enterprise,,Custom,FALSE,FALSE,,TBD,TBD,TBD,TBD
pinata-sdk-fiesta,Pinata,SDK,"[""[Buy](https://pinata.cloud/pricing)"",""[Docs](https://docs.pinata.cloud/sdk/getting-started)""]",SDK,TypeScript,"[""IPFS"",""Decentralized Storage"",""Web3 infrastructure""]","Provides a comprehensive SDK suite for developers to seamlessly upload, manage, and retrieve files on the IPFS decentralized storage network with enterprise-grade gateways.",Tiered,Fiesta,$100/mo,FALSE,FALSE,,TBD,TBD,TBD,TBD
pinata-sdk-free,Pinata,SDK,"[""[Website](https://pinata.cloud/)"",""[Docs](https://docs.pinata.cloud/sdk/getting-started)""]",SDK,TypeScript,"[""IPFS"",""Decentralized Storage"",""Web3 infrastructure""]","Provides a comprehensive SDK suite for developers to seamlessly upload, manage, and retrieve files on the IPFS decentralized storage network with enterprise-grade gateways.",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
